,year,gemessen,ch4,n2o,ssp119,ssp126,ssp245,ssp370,ssp585
1,1850,285.5,807.6,272.1,,,,,
2,1851,285.6,807.8,272.2,,,,,
3,1852,285.8,808.5,272.3,,,,,
4,1853,285.9,809.8,272.4,,,,,
5,1854,286.0,811.1,272.5,,,,,
6,1855,286.1,812.7,272.6,,,,,
7,1856,286.2,814.2,272.7,,,,,
8,1857,286.3,815.8,272.8,,,,,
9,1858,286.5,817.7,272.9,,,,,
10,1859,286.6,819.8,273.0,,,,,
11,1860,286.8,821.7,273.2,,,,,
12,1861,287.0,823.8,273.4,,,,,
13,1862,287.2,826.4,273.6,,,,,
14,1863,287.3,829.6,273.7,,,,,
15,1864,287.5,833.0,273.9,,,,,
16,1865,287.7,836.3,274.1,,,,,
17,1866,287.8,839.8,274.2,,,,,
18,1867,288.0,843.4,274.4,,,,,
19,1868,288.1,846.7,274.6,,,,,
20,1869,288.2,849.6,274.8,,,,,
21,1870,288.4,851.9,274.9,,,,,
22,1871,288.5,853.4,275.1,,,,,
23,1872,288.6,854.7,275.3,,,,,
24,1873,288.8,855.6,275.5,,,,,
25,1874,289.0,857.3,275.7,,,,,
26,1875,289.2,858.9,275.8,,,,,
27,1876,289.5,860.3,276.0,,,,,
28,1877,289.7,861.9,276.1,,,,,
29,1878,289.9,863.6,276.3,,,,,
30,1879,290.1,865.8,276.4,,,,,
31,1880,290.4,868.2,276.6,,,,,
32,1881,290.6,870.5,276.7,,,,,
33,1882,290.9,872.8,276.8,,,,,
34,1883,291.1,875.1,276.9,,,,,
35,1884,291.4,877.7,277.0,,,,,
36,1885,291.7,880.5,277.1,,,,,
37,1886,292.0,883.4,277.2,,,,,
38,1887,292.3,886.5,277.3,,,,,
39,1888,292.6,889.5,277.4,,,,,
40,1889,292.9,892.7,277.5,,,,,
41,1890,293.3,895.9,277.6,,,,,
42,1891,293.6,899.2,277.7,,,,,
43,1892,294.0,903.1,277.8,,,,,
44,1893,294.3,906.8,277.9,,,,,
45,1894,294.6,910.0,278.1,,,,,
46,1895,294.9,912.8,278.2,,,,,
47,1896,295.1,914.3,278.3,,,,,
48,1897,295.4,915.9,278.5,,,,,
49,1898,295.7,918.6,278.6,,,,,
50,1899,296.0,921.9,278.7,,,,,
51,1900,296.4,925.1,278.9,,,,,
52,1901,296.7,928.4,279.1,,,,,
53,1902,297.0,932.3,279.3,,,,,
54,1903,297.4,936.4,279.6,,,,,
55,1904,297.6,941.7,279.9,,,,,
56,1905,298.0,947.1,280.2,,,,,
57,1906,298.3,952.7,280.5,,,,,
58,1907,298.8,958.8,280.8,,,,,
59,1908,299.2,963.7,281.1,,,,,
60,1909,299.6,969.0,281.4,,,,,
61,1910,300.0,974.4,281.8,,,,,
62,1911,300.5,979.1,282.2,,,,,
63,1912,301.0,983.3,282.5,,,,,
64,1913,301.5,985.9,282.9,,,,,
65,1914,302.0,988.3,283.2,,,,,
66,1915,302.5,991.1,283.6,,,,,
67,1916,303.1,998.1,283.9,,,,,
68,1917,303.6,1003.2,284.2,,,,,
69,1918,304.0,1009.8,284.4,,,,,
70,1919,304.4,1017.3,284.4,,,,,
71,1920,304.8,1024.8,284.5,,,,,
72,1921,305.1,1031.9,284.6,,,,,
73,1922,305.5,1038.8,284.8,,,,,
74,1923,305.8,1044.8,285.1,,,,,
75,1924,306.1,1049.2,285.2,,,,,
76,1925,306.3,1051.9,285.3,,,,,
77,1926,306.4,1053.3,285.3,,,,,
78,1927,306.7,1055.5,285.4,,,,,
79,1928,306.8,1060.4,285.5,,,,,
80,1929,307.0,1066.4,285.5,,,,,
81,1930,307.1,1072.4,285.6,,,,,
82,1931,307.3,1077.2,285.8,,,,,
83,1932,307.5,1081.7,285.9,,,,,
84,1933,307.8,1086.3,286.0,,,,,
85,1934,308.2,1091.5,286.1,,,,,
86,1935,308.6,1096.8,286.3,,,,,
87,1936,309.4,1101.6,286.4,,,,,
88,1937,310.2,1106.1,286.6,,,,,
89,1938,310.7,1110.4,286.9,,,,,
90,1939,311.2,1116.7,287.1,,,,,
91,1940,311.7,1119.9,287.3,,,,,
92,1941,312.2,1123.0,287.6,,,,,
93,1942,312.5,1128.0,287.9,,,,,
94,1943,312.7,1132.5,288.5,,,,,
95,1944,312.7,1136.1,288.7,,,,,
96,1945,312.7,1139.1,289.0,,,,,
97,1946,312.7,1143.5,289.2,,,,,
98,1947,312.8,1149.5,289.3,,,,,
99,1948,312.8,1155.5,289.3,,,,,
100,1949,312.9,1160.2,289.4,,,,,
101,1950,313.1,1163.7,289.5,,,,,
102,1951,313.3,1168.6,289.7,,,,,
103,1952,313.6,1174.2,289.8,,,,,
104,1953,314.0,1183.2,290.1,,,,,
105,1954,314.3,1194.3,290.4,,,,,
106,1955,314.6,1206.5,290.7,,,,,
107,1956,314.9,1221.0,291.0,,,,,
108,1957,315.2,1235.7,291.3,,,,,
109,1958,315.5,1247.3,291.6,,,,,
110,1959,316.0,1257.2,291.8,,,,,
111,1960,316.8,1264.0,292.1,,,,,
112,1961,317.5,1269.3,292.5,,,,,
113,1962,318.2,1282.5,292.8,,,,,
114,1963,318.8,1300.7,293.2,,,,,
115,1964,319.5,1317.3,293.6,,,,,
116,1965,320.0,1331.0,293.9,,,,,
117,1966,321.0,1342.2,294.4,,,,,
118,1967,321.6,1354.2,294.8,,,,,
119,1968,322.5,1371.6,295.2,,,,,
120,1969,323.4,1389.3,295.6,,,,,
121,1970,324.9,1411.0,296.0,,,,,
122,1971,325.5,1431.1,296.5,,,,,
123,1972,327.4,1449.2,296.9,,,,,
124,1973,330.0,1462.8,297.3,,,,,
125,1974,330.8,1476.1,297.8,,,,,
126,1975,330.9,1491.7,298.3,,,,,
127,1976,331.6,1509.1,298.8,,,,,
128,1977,333.4,1527.6,299.3,,,,,
129,1978,335.0,1546.9,299.8,,,,,
130,1979,336.6,1566.1,300.4,,,,,
131,1980,338.8,1584.9,301.1,,,,,
132,1981,340.0,1602.6,301.9,,,,,
133,1982,340.8,1618.7,303.1,,,,,
134,1983,342.4,1632.6,303.7,,,,,
135,1984,344.0,1644.7,304.3,,,,,
136,1985,345.5,1657.3,304.9,,,,,
137,1986,346.9,1670.1,305.8,,,,,
138,1987,348.6,1680.1,306.0,,,,,
139,1988,351.2,1692.9,306.7,,,,,
140,1989,352.8,1706.7,307.8,,,,,
141,1990,354.0,1714.4,308.7,,,,,
142,1991,355.3,1727.9,309.4,,,,,
143,1992,356.0,1735.5,309.9,,,,,
144,1993,356.7,1737.5,310.3,,,,,
145,1994,358.2,1743.1,310.8,,,,,
146,1995,360.0,1748.1,311.4,,,,,
147,1996,361.8,1750.2,312.3,,,,,
148,1997,362.9,1753.7,313.1,,,,,
149,1998,365.5,1764.1,313.9,,,,,
150,1999,367.6,1771.8,314.9,,,,,
151,2000,368.8,1773.1,315.9,,,,,
152,2001,370.4,1771.7,316.6,,,,,
153,2002,372.4,1772.6,317.3,,,,,
154,2003,375.0,1776.7,318.0,,,,,
155,2004,376.8,1776.1,318.6,,,,,
156,2005,378.8,1774.1,319.3,,,,,
157,2006,381.0,1774.4,320.2,,,,,
158,2007,382.7,1781.3,320.9,,,,,
159,2008,384.8,1787.7,321.8,,,,,
160,2009,386.3,1792.7,322.6,,,,,
161,2010,388.6,1797.9,323.4,,,,,
162,2011,390.5,1803.3,324.4,,,,,
163,2012,392.5,1808.4,325.3,,,,,
164,2013,395.2,1813.8,326.2,,,,,
165,2014,397.1,1822.9,327.4,,,,,
166,2015,399.4,1834.0,328.3,,,,,
167,2016,402.9,1842.2,329.1,,,,,
168,2017,405.0,1849.2,330.0,,,,,
169,2018,407.4,1857.8,331.2,,,,,
170,2019,409.9,1866.3,332.1,,,,,
171,2020,414.0,,,414.0,414.0,414.0,415.0,415.0
172,2030,,,,434.0,440.0,444.0,451.0,452.0
173,2040,,,,440.0,458.0,475.0,493.0,500.0
174,2050,,,,438.0,469.0,507.0,541.0,563.0
175,2060,,,,431.0,474.0,537.0,593.0,643.0
176,2070,,,,424.0,473.0,564.0,652.0,744.0
177,2080,,,,415.0,467.0,585.0,716.0,864.0
178,2090,,,,405.0,457.0,598.0,787.0,998.0
179,2100,,,,394.0,446.0,603.0,867.0,1135.0
