date,year,month,emissions,remaining
2020-01-01,2020,Januar,2.996722842251417,400.0
2020-02-01,2020,Februar,2.996722842251417,397.0032771577486
2020-03-01,2020,März,2.996722842251417,394.00655431549717
2020-04-01,2020,April,2.996722842251417,391.00983147324575
2020-05-01,2020,Mai,2.996722842251417,388.01310863099434
2020-06-01,2020,Juni,2.996722842251417,385.0163857887429
2020-07-01,2020,Juli,2.996722842251417,382.0196629464915
2020-08-01,2020,August,2.996722842251417,379.0229401042401
2020-09-01,2020,September,2.996722842251417,376.0262172619887
2020-10-01,2020,Oktober,2.996722842251417,373.02949441973726
2020-11-01,2020,November,2.996722842251417,370.03277157748585
2020-12-01,2020,Dezember,2.996722842251417,367.03604873523443
2021-01-01,2021,Januar,3.154797979553333,364.039325892983
2021-02-01,2021,Februar,3.154797979553333,360.8845279134297
2021-03-01,2021,März,3.154797979553333,357.72972993387634
2021-04-01,2021,April,3.154797979553333,354.574931954323
2021-05-01,2021,Mai,3.154797979553333,351.42013397476967
2021-06-01,2021,Juni,3.154797979553333,348.26533599521633
2021-07-01,2021,Juli,3.154797979553333,345.110538015663
2021-08-01,2021,August,3.154797979553333,341.95574003610966
2021-09-01,2021,September,3.154797979553333,338.8009420565563
2021-10-01,2021,Oktober,3.154797979553333,335.646144077003
2021-11-01,2021,November,3.154797979553333,332.49134609744965
2021-12-01,2021,Dezember,3.154797979553333,329.3365481178963
2022-01-01,2022,Januar,3.1032808175780553,326.181750138343
2022-02-01,2022,Februar,3.1032808175780553,323.07846932076495
2022-03-01,2022,März,3.1032808175780553,319.9751885031869
2022-04-01,2022,April,3.1032808175780553,316.87190768560885
2022-05-01,2022,Mai,3.1032808175780553,313.76862686803076
2022-06-01,2022,Juni,3.1032808175780553,310.66534605045274
2022-07-01,2022,Juli,3.1032808175780553,307.5620652328747
2022-08-01,2022,August,3.1032808175780553,304.45878441529663
2022-09-01,2022,September,3.1032808175780553,301.35550359771855
2022-10-01,2022,Oktober,3.1032808175780553,298.2522227801405
2022-11-01,2022,November,3.1032808175780553,295.14894196256245
2022-12-01,2022,Dezember,3.1032808175780553,292.04566114498436
2023-01-01,2023,Januar,3.1032808175780553,288.94238032740634
2023-02-01,2023,Februar,3.1032808175780553,285.8390995098283
2023-03-01,2023,März,3.1032808175780553,282.73581869225023
2023-04-01,2023,April,3.1032808175780553,279.63253787467215
2023-05-01,2023,Mai,3.1032808175780553,276.5292570570941
2023-06-01,2023,Juni,3.1032808175780553,273.4259762395161
2023-07-01,2023,Juli,3.1032808175780553,270.322695421938
2023-08-01,2023,August,3.1032808175780553,267.21941460435994
2023-09-01,2023,September,3.1032808175780553,264.1161337867819
2023-10-01,2023,Oktober,3.1032808175780553,261.0128529692039
2023-11-01,2023,November,3.1032808175780553,257.9095721516258
2023-12-01,2023,Dezember,3.1032808175780553,254.80629133404776
2024-01-01,2024,Januar,3.1032808175780553,251.70301051646967
2024-02-01,2024,Februar,3.1032808175780553,248.59972969889162
2024-03-01,2024,März,3.1032808175780553,245.49644888131357
2024-04-01,2024,April,3.1032808175780553,242.39316806373552
2024-05-01,2024,Mai,3.1032808175780553,239.28988724615746
2024-06-01,2024,Juni,3.1032808175780553,236.1866064285794
2024-07-01,2024,Juli,3.1032808175780553,233.08332561100136
2024-08-01,2024,August,3.1032808175780553,229.9800447934233
2024-09-01,2024,September,3.1032808175780553,226.87676397584522
2024-10-01,2024,Oktober,3.1032808175780553,223.77348315826717
2024-11-01,2024,November,3.1032808175780553,220.67020234068912
2024-12-01,2024,Dezember,3.1032808175780553,217.56692152311106
2025-01-01,2025,Januar,3.1032808175780553,214.463640705533
2025-02-01,2025,Februar,3.1032808175780553,211.36035988795496
2025-03-01,2025,März,3.1032808175780553,208.2570790703769
2025-04-01,2025,April,3.1032808175780553,205.15379825279885
2025-05-01,2025,Mai,3.1032808175780553,202.05051743522077
2025-06-01,2025,Juni,3.1032808175780553,198.94723661764272
2025-07-01,2025,Juli,3.1032808175780553,195.84395580006466
2025-08-01,2025,August,3.1032808175780553,192.7406749824866
2025-09-01,2025,September,3.1032808175780553,189.63739416490856
2025-10-01,2025,Oktober,3.1032808175780553,186.5341133473305
2025-11-01,2025,November,3.1032808175780553,183.43083252975245
2025-12-01,2025,Dezember,3.1032808175780553,180.3275517121744
2026-01-01,2026,Januar,3.1032808175780553,177.22427089459632
2026-02-01,2026,Februar,3.1032808175780553,174.12099007701826
2026-03-01,2026,März,3.1032808175780553,171.0177092594402
2026-04-01,2026,April,3.1032808175780553,167.91442844186216
2026-05-01,2026,Mai,3.1032808175780553,164.8111476242841
2026-06-01,2026,Juni,3.1032808175780553,161.70786680670605
2026-07-01,2026,Juli,3.1032808175780553,158.604585989128
2026-08-01,2026,August,3.1032808175780553,155.50130517154994
2026-09-01,2026,September,3.1032808175780553,152.39802435397186
2026-10-01,2026,Oktober,3.1032808175780553,149.2947435363938
2026-11-01,2026,November,3.1032808175780553,146.19146271881576
2026-12-01,2026,Dezember,3.1032808175780553,143.0881819012377
2027-01-01,2027,Januar,3.1032808175780553,139.98490108365962
2027-02-01,2027,Februar,3.1032808175780553,136.88162026608154
2027-03-01,2027,März,3.1032808175780553,133.77833944850346
2027-04-01,2027,April,3.1032808175780553,130.67505863092538
2027-05-01,2027,Mai,3.1032808175780553,127.57177781334747
2027-06-01,2027,Juni,3.1032808175780553,124.46849699576939
2027-07-01,2027,Juli,3.1032808175780553,121.3652161781913
2027-08-01,2027,August,3.1032808175780553,118.26193536061322
